state,year,epi_week,rainfall_mm,rainfall_lag8_mm,rainfall_lta_mm,rainfall_anomaly_pct
Abia,1981,1,14.212903,,5.7890325,178.0781
Abia,1981,2,3.5548387,14.212903,5.5174193,81.33971
Abia,1981,4,10.135484,8.883870850000001,10.415699,98.182274
Abia,1981,5,1.8451613,9.301075233333334,12.084731,40.065956
Abia,1981,7,6.935484,7.43709675,15.216129,59.039413
Abia,1981,8,22.606451,7.336774199999999,17.004732,125.45688
Abia,1981,9,21.206451,9.881720333333334,30.776129,73.25122
Abia,1981,11,43.55484,11.499539,36.829464,116.07808
Abia,1981,12,34.232258,15.506451625,44.33871,79.51618
Abia,1981,14,56.503227,18.008871,53.735912,104.71145
Abia,1981,15,21.406452,24.6274195375,61.00839,40.00469
Abia,1981,17,56.36774,26.0362905375,56.888386,99.15874
Abia,1981,18,84.741936,32.851612875,82.929245,102.06153
Abia,1981,20,63.12258,42.577419375000005,82.15914,78.15885
Abia,1981,21,114.10968,47.6419355,94.044945,120.25821
Abia,1981,23,99.8,59.254839125000004,109.787094,91.29946
Abia,1981,24,121.12258,66.285484125,104.51398,115.16573
Abia,1981,25,103.68387,77.14677437499999,104.40537,99.34052
Abia,1981,27,118.07097,83.04435475,132.72343,89.360954
Abia,1981,28,88.30968,95.1274195,127.95269,70.18262
Abia,1981,30,122.60645,99.120162,133.24474,92.30475
Abia,1981,31,87.81935,103.85322624999999,101.247955,87.36108
Abia,1981,33,106.63871,106.9403225,103.59075,102.80683
Abia,1981,34,98.2,106.00645125,123.17506,80.51489
Abia,1981,36,125.23226,105.80645125000001,105.83957,117.49619
Abia,1981,37,109.10968,106.32016125000001,110.082794,99.15443
Abia,1981,39,110.48387,106.99838749999999,118.14301,93.78029
Abia,1981,40,116.16774,106.05,87.55097,130.92
Abia,1981,41,70.23871,109.5322575,93.42021,76.4464
Abia,1981,43,104.44516,102.98629,106.78473,97.90708
Abia,1981,44,35.00645,105.06451625,40.66301,87.61238
Abia,1981,46,14.896774,96.11048375,30.770538,55.62336
Abia,1981,47,5.529032,85.6975805,22.34387,38.506004
Abia,1981,49,2.264516,70.73467699999999,11.765376,43.330467
Abia,1981,50,0.62580645,57.3790315,3.7548387,64.25939
Abia,1981,52,3.2903225,43.64677355625,4.423871,87.97151
Abia,1981,53,18.387096,29.537096368750003,5.7890325,216.76733
Abia,1982,2,9.6,23.05564461875,5.5174193,138.81732
Abia,1982,3,24.174194,11.19999961875,10.415699,189.2499
Abia,1982,5,3.8258064,9.845967618749999,12.084731,51.65903
Abia,1982,6,9.632258,8.46209666875,15.216129,72.37913
Abia,1982,7,47.909676,8.97499991875,17.004732,240.44681
Abia,1982,9,27.406452,14.680644918749998,30.776129,90.58121
Abia,1982,10,24.916128,18.028225612499998,36.829464,71.51927
Abia,1982,11,59.47742,20.7314513,44.33871,130.68321
Abia,1982,13,41.6,25.8677418,53.735912,79.338165
Abia,1982,14,49.948387,29.867741799999997,61.00839,83.244545
Abia,1982,16,55.63871,33.089515925,56.888386,97.98076
Abia,1982,17,98.574196,39.566128875000004,82.929245,117.792656
Abia,1982,19,66.78065,50.683871124999996,82.15914,82.35584
Abia,1982,20,108.23226,53.042742874999995,94.044945,114.32412
Abia,1982,22,96.76774,63.145968874999994,109.787094,88.65782
Abia,1982,23,62.412903,72.127420375,104.51398,61.556435
Abia,1982,25,129.2,72.49435575,104.40537,122.66308
Abia,1982,26,99.2,83.44435575,132.72343,75.65887
Abia,1982,27,156.2129,89.600807375,127.95269,121.25584
Abia,1982,29,105.77419,102.172581125,133.24474,80.12905
Abia,1982,30,46.4,103.07258037499999,101.247955,48.377403
Abia,1982,32,78.619354,100.524999125,103.59075,77.00412
Abia,1982,33,117.73548,96.823385875,123.17506,95.75614
Abia,1982,35,138.14194,99.44435337499999,105.83957,129.14336
Abia,1982,36,103.76774,108.910483,110.082794,94.512596
Abia,1982,38,93.45806,105.7314505,118.14301,79.95424
Abia,1982,39,74.52903,105.013708,87.55097,85.92998
Abia,1982,41,90.37419,94.80322425,93.42021,96.90509
