year,epi_week,state,suspected_cases,confirmed_cases,deaths,data_quality_flag,is_endemic
2018,1,Abia,2,0,0,table_based,0
2018,1,Adamawa,2,0,0,table_based,0
2018,1,Akwa Ibom,0,0,0,table_based,0
2018,1,Anambra,2,0,0,table_based,0
2018,1,Bauchi,30,16,2,table_based,1
2018,1,Bayelsa,2,0,0,table_based,0
2018,1,Benue,10,4,0,table_based,1
2018,1,Borno,2,0,0,table_based,0
2018,1,Cross River,2,0,0,table_based,0
2018,1,Delta,2,0,0,table_based,0
2018,1,Ebonyi,10,4,0,table_based,1
2018,1,Edo,24,10,0,table_based,1
2018,1,Ekiti,0,0,0,table_based,0
2018,1,Enugu,2,0,0,table_based,0
2018,1,FCT,4,0,0,table_based,0
2018,1,Gombe,4,2,0,table_based,0
2018,1,Imo,0,0,0,table_based,0
2018,1,Jigawa,0,0,0,table_based,0
2018,1,Kaduna,4,0,0,table_based,0
2018,1,Kano,4,0,0,table_based,0
2018,1,Katsina,2,0,0,table_based,0
2018,1,Kebbi,2,0,0,table_based,0
2018,1,Kogi,4,2,0,table_based,1
2018,1,Kwara,2,0,0,table_based,0
2018,1,Lagos,4,0,0,table_based,0
2018,1,Nasarawa,4,2,0,table_based,0
2018,1,Niger,2,0,0,table_based,0
2018,1,Ogun,2,0,0,table_based,0
2018,1,Ondo,40,20,2,table_based,1
2018,1,Osun,0,0,0,table_based,0
2018,1,Oyo,2,0,0,table_based,0
2018,1,Plateau,8,4,0,table_based,0
2018,1,Rivers,2,0,0,table_based,0
2018,1,Sokoto,2,0,0,table_based,0
2018,1,Taraba,12,8,0,table_based,1
2018,1,Yobe,2,0,0,table_based,0
2018,1,Zamfara,2,0,0,table_based,0
2018,26,Abia,0,0,0,table_based,0
2018,26,Adamawa,0,0,0,table_based,0
2018,26,Akwa Ibom,0,0,0,table_based,0
2018,26,Anambra,0,0,0,table_based,0
2018,26,Bauchi,7,3,0,table_based,1
2018,26,Bayelsa,0,0,0,table_based,0
2018,26,Benue,2,0,0,table_based,1
2018,26,Borno,0,0,0,table_based,0
2018,26,Cross River,0,0,0,table_based,0
2018,26,Delta,0,0,0,table_based,0
2018,26,Ebonyi,2,0,0,table_based,1
2018,26,Edo,5,2,0,table_based,1
2018,26,Ekiti,0,0,0,table_based,0
2018,26,Enugu,0,0,0,table_based,0
2018,26,FCT,0,0,0,table_based,0
2018,26,Gombe,0,0,0,table_based,0
2018,26,Imo,0,0,0,table_based,0
2018,26,Jigawa,0,0,0,table_based,0
2018,26,Kaduna,0,0,0,table_based,0
2018,26,Kano,0,0,0,table_based,0
2018,26,Katsina,0,0,0,table_based,0
2018,26,Kebbi,0,0,0,table_based,0
2018,26,Kogi,0,0,0,table_based,1
2018,26,Kwara,0,0,0,table_based,0
2018,26,Lagos,0,0,0,table_based,0
2018,26,Nasarawa,0,0,0,table_based,0
